Vivo Note5 | Android | {density=2.0, width=968, height=1328}
Asus Lite4 | Android | {density=2.2, width=901, height=1578}
Samsung Galaxy S21 | Android | {density=3.0, width=1080, height=2400}
Google Pixel 5 | Android | {density=2.75, width=1080, height=2340}
OnePlus 9 | Android | {density=2.8, width=1080, height=2400}
Xiaomi Mi 11 | Android | {density=2.75, width=1440, height=3200}
Oppo Find X3 | Android | {density=2.5, width=1440, height=3216}
Motorola V9 | Android | {density=3.0, width=991, height=1265}
TCL Note2 | Android | {density=2.5, width=1109, height=1542}
Blackberry Note5 | Android | {density=2.5, width=1032, height=1546}
Vivo Note5 | Android | {density=2.0, width=968, height=1328}
Asus Lite4 | Android | {density=2.2, width=901, height=1578}
Xiaomi Mini10 | Android | {density=2.0, width=953, height=1243}
OnePlus Max9 | Android | {density=2.5, width=1137, height=1590}
Alcatel V1 | Android | {density=2.2, width=1026, height=1548}
Lenovo V3 | Android | {density=2.0, width=811, height=1474}
Sony Galaxy5 | Android | {density=1.5, width=894, height=1232}
Alcatel Reno1 | Android | {density=1.5, width=890, height=1341}
Asus Mini8 | Android | {density=2.2, width=1100, height=1452}
Xiaomi Max10 | Android | {density=2.0, width=946, height=1526}
Blackberry Reno10 | Android | {density=3.0, width=850, height=1462}
Alcatel Redmi7 | Android | {density=2.2, width=1139, height=1522}
Lenovo G4 | Android | {density=2.0, width=945, height=1275}
Google Pixel1 | Android | {density=2.5, width=919, height=1361}
Xiaomi Note2 | Android | {density=2.0, width=801, height=1510}
Blackberry Note1 | Android | {density=1.5, width=1161, height=1347}
ZTE Note2 | Android | {density=1.5, width=1167, height=1347}
Motorola Pixel2 | Android | {density=2.0, width=1012, height=1336}
Oppo A10 | Android | {density=1.5, width=1199, height=1391}
Vivo Pixel4 | Android | {density=2.0, width=886, height=1353}
Alcatel Max3 | Android | {density=1.5, width=1119, height=1285}
HTC Mini1 | Android | {density=2.2, width=1197, height=1251}
Lenovo Mini1 | Android | {density=2.0, width=823, height=1382}
Blackberry X7 | Android | {density=3.0, width=1172, height=1343}
TCL Max9 | Android | {density=2.5, width=845, height=1254}
Asus Pixel2 | Android | {density=2.5, width=1117, height=1365}
Motorola Plus3 | Android | {density=2.2, width=989, height=1398}
Lenovo Galaxy9 | Android | {density=3.0, width=927, height=1509}
Xiaomi Reno8 | Android | {density=1.5, width=975, height=1312}
HTC A6 | Android | {density=2.2, width=986, height=1398}
Lenovo Mate10 | Android | {density=3.0, width=896, height=1477}
Alcatel Pro9 | Android | {density=1.5, width=1061, height=1470}
ZTE Pixel5 | Android | {density=1.5, width=814, height=1482}
OnePlus A10 | Android | {density=2.0, width=883, height=1440}
Motorola V10 | Android | {density=2.5, width=1026, height=1438}
Lenovo Mate3 | Android | {density=2.0, width=1042, height=1289}
Motorola Plus10 | Android | {density=3.0, width=925, height=1530}
Motorola Reno3 | Android | {density=2.5, width=926, height=1287}
Oppo Redmi9 | Android | {density=3.0, width=824, height=1454}
Asus A5 | Android | {density=2.2, width=1111, height=1475}
Oppo Note1 | Android | {density=2.5, width=1154, height=1411}
TCL Galaxy1 | Android | {density=1.5, width=1095, height=1207}
OnePlus G3 | Android | {density=3.0, width=1135, height=1228}
Blackberry V3 | Android | {density=2.5, width=874, height=1596}
HTC Plus7 | Android | {density=2.5, width=1170, height=1349}
Asus Galaxy4 | Android | {density=2.2, width=1069, height=1387}
 Huawei X10 | Android | {density=2.0, width=1077, height=1303}
HTC Lite6 | Android | {density=3.0, width=913, height=1432}
Xiaomi Max9 | Android | {density=2.2, width=1036, height=1267}
Lenovo Max1 | Android | {density=2.5, width=1157, height=1369}
Samsung Max2 | Android | {density=1.5, width=1185, height=1259}
Blackberry Lite8 | Android | {density=3.0, width=1086, height=1260}
Lenovo Mini8 | Android | {density=2.2, width=975, height=1219}
Motorola Redmi6 | Android | {density=3.0, width=1165, height=1396}
 Huawei G3 | Android | {density=3.0, width=1090, height=1582}
